[2026-02-12 01:03:20.041] INFO  main o.a.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2026-02-12 01:03:20.041] INFO  main o.s.b.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5709 ms
[2026-02-12 01:03:21.392] WARN  main com.baomidou.mybatisplus.core.injector.methods.Insert - [com.igreen.domain.mapper.GroupMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
[2026-02-12 01:03:21.404] WARN  main com.baomidou.mybatisplus.core.injector.methods.Update - [com.igreen.domain.mapper.GroupMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
[2026-02-12 01:03:21.429] WARN  main com.baomidou.mybatisplus.core.injector.methods.SelectList - [com.igreen.domain.mapper.GroupMapper.selectList] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectList]
[2026-02-12 01:03:21.434] WARN  main com.baomidou.mybatisplus.core.injector.methods.DeleteById - [com.igreen.domain.mapper.GroupMapper.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
[2026-02-12 01:03:21.444] WARN  main com.baomidou.mybatisplus.core.injector.methods.SelectById - [com.igreen.domain.mapper.GroupMapper.selectById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectById]
[2026-02-12 01:03:22.526] INFO  main org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
[2026-02-12 01:03:22.684] INFO  main org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
[2026-02-12 01:03:23.238] INFO  main o.s.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
[2026-02-12 01:03:23.295] INFO  main com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2026-02-12 01:03:24.130] INFO  main com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@29d81c22
[2026-02-12 01:03:24.137] INFO  main com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2026-02-12 01:03:24.336] WARN  main org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
[2026-02-12 01:03:24.934] INFO  main o.h.e.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[2026-02-12 01:03:24.947] INFO  main o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2026-02-12 01:03:25.887] WARN  main o.s.b.a.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2026-02-12 01:03:26.834] INFO  main o.s.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
[2026-02-12 01:03:26.991] INFO  main org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1d0f03f6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5653429e, com.igreen.common.config.SecurityConfig$1@78c9c38a, org.springframework.security.web.context.SecurityContextHolderFilter@6edc8385, org.springframework.security.web.header.HeaderWriterFilter@7bca98d5, org.springframework.web.filter.CorsFilter@8a0a1d1, org.springframework.security.web.authentication.logout.LogoutFilter@69e58566, com.igreen.common.config.RateLimitFilter@425b5fe2, com.igreen.common.utils.JwtAuthenticationFilter@4ae958b0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4582da06, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@38624a3a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6dd50380, org.springframework.security.web.session.SessionManagementFilter@72b4ecb2, org.springframework.security.web.access.ExceptionTranslationFilter@7e092ca, org.springframework.security.web.access.intercept.AuthorizationFilter@1cbb394b]
[2026-02-12 01:03:28.370] INFO  main org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2026-02-12 01:03:28.398] INFO  main o.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
[2026-02-12 01:03:28.495] INFO  main com.igreen.IGreenApplication - Started IGreenApplication in 16.127 seconds (process running for 16.994)
[2026-02-12 01:03:28.554] INFO  main com.igreen.common.config.DatabaseInitConfig - 开始初始化数据库表结构...
[2026-02-12 01:03:28.555] INFO  main com.igreen.common.config.DatabaseInitConfig - 检查并修复 sla_configs 表结构...
[2026-02-12 01:03:28.729] INFO  main com.igreen.common.config.DatabaseInitConfig - sla_configs 表结构修复完成
[2026-02-12 01:03:28.730] INFO  main com.igreen.common.config.DatabaseInitConfig - 检查并修复 site_level_configs 表结构...
[2026-02-12 01:03:28.776] INFO  main com.igreen.common.config.DatabaseInitConfig - site_level_configs 表结构修复完成
[2026-02-12 01:03:28.776] INFO  main com.igreen.common.config.DatabaseInitConfig - 数据库表结构初始化完成
[2026-02-12 01:03:50.997] INFO  http-nio-8080-exec-1 o.a.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2026-02-12 01:03:50.998] INFO  http-nio-8080-exec-1 org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2026-02-12 01:03:51.003] INFO  http-nio-8080-exec-1 org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
[2026-02-12 01:03:51.610] WARN  http-nio-8080-exec-1 o.s.web.servlet.handler.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/api/tickets/pending' (previous null). Performing MatchableHandlerMapping lookup. This is logged once only at WARN level, and every time at TRACE.
[2026-02-12 01:41:26.113] INFO  background-preinit org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
[2026-02-12 01:41:26.298] INFO  main com.igreen.IGreenApplication - Starting IGreenApplication v1.0.0-SNAPSHOT using Java 17.0.17 with PID 69722 (/Users/mac/workspace/iGreenProduct/igreen-backend/target/igreen-backend-1.0.0-SNAPSHOT.jar started by mac in /Users/mac/workspace/iGreenProduct/igreen-backend)
[2026-02-12 01:41:26.300] INFO  main com.igreen.IGreenApplication - The following 1 profile is active: "dev"
[2026-02-12 01:41:29.188] INFO  main o.s.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2026-02-12 01:41:29.240] INFO  main o.s.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 0 JPA repository interfaces.
[2026-02-12 01:41:30.856] INFO  main o.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
[2026-02-12 01:41:30.872] INFO  main org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
